Plant_Name,NRC_Webpage,Wikipedia_URL,Unit,Location,City State,Region,Docket Number,Reactor Type,MWt,NSSS Vendor,Operating License (OL) Issued,Shut Down,Operating License (OL) Terminated,Closure Date Est. ,Decommissioning Alternative Selected,Current License Status,Notes
"Big Rock Point, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/big-rock-point.html ,https://en.wikipedia.org/wiki/Big_Rock_Point_Nuclear_Power_Plant,1,"45.358889, -85.197222","Charlevoix, MI",3,05000155,BWR,240,GE,5/1/1964,8/29/1997,1/8/2007,,DECON,DECON Completed,
"Crystal River, Unit 3",https://www.nrc.gov/info-finder/decommissioning/power-reactor/cr3.html,https://en.wikipedia.org/wiki/Crystal_River_3_Nuclear_Power_Plant,3,"28.9575, -82.698333","Crystal River, FL",2,05000302,PWR,"2,609",B&W LLP,12/3/1976,2/20/2013,,2074,SAFSTOR,SAFSTOR,
"Dresdan Generating Station, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/dresden-nuclear-power-station-unit-1.html,https://en.wikipedia.org/wiki/Dresden_Generating_Station,1,"41.389722, -88.268056","Morris, IL",3,0500010,BWR,700,GE,9/28/1959,10/31/1978,,2036,SAFSTOR,SAFSTOR,
GE EVESR,https://www.nrc.gov/info-finder/decommissioning/power-reactor/general-electric-co-vesr.html,https://en.wikipedia.org/wiki/Vallecitos_Nuclear_Center,1,"37.594444, -121.888611",Sunol. CA,4,05000183,Experimental Superheat Reactor,12.5,GE,11/12/1963,2/1/1967,04/05/1970,2025,SAFSTOR,SAFSTOR,
GE VBWR,https://www.nrc.gov/info-finder/decommissioning/power-reactor/vallecitos-boiling-water-reactor-vbwr-.html,https://en.wikipedia.org/wiki/Vallecitos_Nuclear_Center ,1,"37.594444, -121.888611",Sunol. CA,4,05000018,BWR,50,GE,8/31/1957,12/19/1963,,2019,SAFSTOR,SAFSTOR,
"Fermi, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/enrico-fermi-atomic-power-plant-unit-1.html,https://en.wikipedia.org/wiki/Enrico_Fermi_Nuclear_Generating_Station ,1,"41.962778, -83.2575","Newport, MI",3,05000016,SCF,200,CE,5/10/1963,9/22/1972,,2032,SAFSTOR,DECON,
"Fort St. Vrain Generating Station, Unit 1",,https://en.wikipedia.org/wiki/Fort_St._Vrain_Generating_Station,1,"40.244444, -104.874167","Platteville, CO",4,05000267,HTG,842,GA,12/21/1973,8/18/1989,8/8/1997,,DECON,DECON Completed,
"Haddam Neck, Unit 1",,https://en.wikipedia.org/wiki/Connecticut_Yankee_Nuclear_Power_Plant,1,"41.536667, -72.794722","Meriden, CT",1,05000213,PWR,"1,825",West,12/27/1974,12/5/1996,11/26/2007,,DECON,DECON Completed,
"Humboldt Bay Nuclear Power Plant, Unit 3",https://www.nrc.gov/info-finder/decommissioning/power-reactor/humboldt-bay-nuclear-power-plant-unit-3.html,https://en.wikipedia.org/wiki/Humboldt_Bay_Nuclear_Power_Plant,3,"40.741322, -124.209044","Eureka, CA",4,05000133,BWR,200,GE,8/28/1962,7/2/1976,,2015,DECON,DECON In Progress,
"Indian Point Nuclear Generating, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/indian-point-unit-1.html,https://en.wikipedia.org/wiki/Indian_Point_Energy_Center ,1,"41.269722, -73.952222","Buchanan, NY",1,05000003,PWR,615,B&W,3/26/1962,10/31/1974,,2026,SAFSTOR,SAFSTOR,
"Kewaunee Power Station, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/kewa.html,https://en.wikipedia.org/wiki/Kewaunee_Power_Station ,1,"44.342222, -87.536111","Carlton, WI",3,05000305,PWR,"1,772",West 2LP,12/21/1973,5/7/2013,,2073,SAFSTOR,SAFSTOR,
"La Crosse Boiling Water Reactor, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/lacrosse-boiling-water-reactor.html,https://en.wikipedia.org/wiki/La_Crosse_Boiling_Water_Reactor ,1,"43.5601, -91.2315","Genoa, WI",3,05000409,BWR,165,AC,7/3/1967,4/30/1987,,2020,DECON,DECON In Progress,
"Maine Yankee Nuclear Power Plant, Unit 1",,https://en.wikipedia.org/wiki/Maine_Yankee_Nuclear_Power_Plant,1,"43.950556, -69.695833","Wiscasset, ME",1,05000309,PWR,"2,700",CE,6/29/1973,12/6/1996,9/30/2005,,DECON,DECON Completed,
"Millstone Power Station, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/millstone-unit-1.html,https://en.wikipedia.org/wiki/Millstone_Nuclear_Power_Plant ,1,"41.311944, -72.168611","Waterford, CT",1,05000245,BWR,"2,011",GE,10/31/1970,7/21/1998,,2056,SAFSTOR,SAFSTOR,
"Pathfinder Nuclear Generating Station, Unit 1",https://www.nrc.gov/info-finder/decommissioning/uranium/pathfinder-lucky-mc.html,https://en.wikipedia.org/wiki/Pathfinder_Nuclear_Generating_Station ,1,"43.603611, -96.6375","Sioux Falls, SD",4,05000130,BWR,190,AC,3/12/1964,9/16/1967,7/27/2007,,DECON,DECON Completed,
"Peach Bottom Atomic Power Station, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/peach-bottom-atomic-power-station-unit.html,https://en.wikipedia.org/wiki/Peach_Bottom_Nuclear_Generating_Station ,1,"39.758333, -76.268056","Delta, PA",1,05000171,HTG,115,GA,1/24/1966,10/31/1974,,2034,SAFSTOR,SAFSTOR,
"Rancho Seco Nuclear Generating Station, Unit 1",,https://en.wikipedia.org/wiki/Rancho_Seco_Nuclear_Generating_Station,1,"38.345278, -121.121667","Herald, CA",4,05000312,PWR,"2,772",B&W,8/16/1974,6/7/1989,9/25/2009,,DECON,DECON Completed,
"San Onofre Nuclear Generating Station, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/san-onofre-unit-1.html,https://en.wikipedia.org/wiki/San_Onofre_Nuclear_Generating_Station ,1,"33.368889, -117.555","San Clemente, CA",4,05000206,PWR,"1,347",West,3/27/1967,11/30/1992,,2030,DECON,SAFSTOR,Site has been dismantled and decontaminated with exception of the reactor vessel in the long-term storage.
"San Onofre Nuclear Generating Station, Unit 2",https://www.nrc.gov/info-finder/decommissioning/power-reactor/san-onofre-units-2-3.html,https://en.wikipedia.org/wiki/San_Onofre_Nuclear_Generating_Station ,2,"33.368889, -117.555","San Clemente, CA",4,05000361,PWR CE,"3,438",CE,2/16/1982,6/12/2013,,2030,DECON,DECON In Progress,Site has been dismantled and decontaminated with exception of the reactor vessel in the long-term storage.
"San Onofre Nuclear Generating Station, Unit 3",https://www.nrc.gov/info-finder/decommissioning/power-reactor/san-onofre-units-2-3.html,https://en.wikipedia.org/wiki/San_Onofre_Nuclear_Generating_Station ,3,"33.368889, -117.555","San Clemente, CA",4,05000362,PWR CE,"3,438",CE,11/15/1982,6/12/2013,,2030,DECON,DECON In Progress,
"NS Savannah, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/nuclear-ship-savannah.html,https://en.wikipedia.org/wiki/NS_Savannah ,1,"39.258472, -76.555417","Baltimore, MD",1,05000238,PWR,74,B&W,8/1/1965,11/1/1970,,2031,SAFSTOR,SAFSTOR,
"Saxton Nuclear Generating Station, Unit 1",,https://en.wikipedia.org/wiki/Saxton_Nuclear_Generating_Station,1,"40.226944, -78.241944","Saxton, PA",1,05000146,PWR,23.5,West,11/15/1961,5/1/1972,11/7/2005,,DECON,DECON Completed,
"Shoreham Nuclear Power Plant, Unit 1",,https://en.wikipedia.org/wiki/Shoreham_Nuclear_Power_Plant,1,"40.961111, -72.865","Wading River, NY",1,05000322,BWR,"2,436",GE,4/21/1989,6/28/1989,4/11/1995,,DECON,DECON Completed,
"Three Mile Island Nuclear Station, Unit 2",https://www.nrc.gov/info-finder/decommissioning/power-reactor/three-mile-island-unit-2.html,https://en.wikipedia.org/wiki/Three_Mile_Island_Nuclear_Generating_Station ,2,"40.153889, -76.724722","Middletown, PA",1,05000320,PWR,"2,770",B&W,2/8/1978,3/28/1979,,2036,SAFSTOR,SAFSTOR,"Three Mile Island 2 has been placed in postdefueling monitored storage mode until Unit 1 permanently ceases operation, at which time both units are planned to be decommissioned."
"Trojan Nuclear Power Plant, Unit 1",,https://en.wikipedia.org/wiki/Trojan_Nuclear_Power_Plant,1,"46.038333, -122.885","Rainier, OR",4,05000344,PWR,"3,411",West,11/21/1975,11/9/1992,5/23/2005,,DECON,DECON Completed,
"Yankee Rowe Nuclear Power Station, Unit 1",,https://en.wikipedia.org/wiki/Yankee_Rowe_Nuclear_Power_Station,1,"42.727839, -72.929108","Rowe, MA",1,05000029,PWR,600,West,12/24/1963,10/1/1991,8/10/2007,,DECON ,DECON Completed,
"Vermont Yankee Nuclear Power Plant, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/vermont-yankee.html,https://en.wikipedia.org/wiki/Vermont_Yankee_Nuclear_Power_Plant ,1,"42.778889, -72.513056","Vernon, VT",1,05000271,BWR-MARK 1,"1,912",GE 4,3/21/1972,12/29/2014,,2073,SAFSTOR,SAFSTOR,
"Zion Nuclear Power Station, Unit 1",https://www.nrc.gov/info-finder/decommissioning/power-reactor/zion-nuclear-power-station-units-1-2.html,https://en.wikipedia.org/wiki/Zion_Nuclear_Power_Station ,1,"42.446111, -87.802778","Zion, IL",3,05000295,PWR,"3,250",West,10/19/1973,2/21/1997,,,DECON,DECON In Progress,
"Zion Nuclear Power Station, Unit 2",https://www.nrc.gov/info-finder/decommissioning/power-reactor/zion-nuclear-power-station-units-1-2.html,https://en.wikipedia.org/wiki/Zion_Nuclear_Power_Station ,2,"42.446111, -87.802778","Zion, IL",3,05000304,PWR,"3,250",West,11/14/1973,9/19/1996,,2020,DECON,DECON In Progress,
